id,state,Cat0,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
2417,NH,0,0,0,0,1,1,0,0,95,510,0,0,0,142.5,109,24.23,176.1,107,14.97,189.6,88,8.53,8.2,3,2.21,2,0
4193,VA,0,1,1,0,0,0,1,0,149,408,0,1,28,212.8,117,36.18,159.9,86,13.59,222.7,88,10.02,10.3,0,2.78,1,0
1751,NJ,0,0,0,0,1,0,1,0,113,415,0,0,0,186,55,31.62,237.4,105,20.18,148.1,83,6.66,12.2,6,3.29,1,0
3163,TX,0,1,1,0,1,0,0,0,98,510,0,0,0,86.1,78,14.64,222.7,130,18.93,155,124,6.98,9,7,2.43,0,0
3730,NE,0,0,0,1,0,0,0,1,105,510,0,0,0,213.3,99,36.26,153.1,79,13.01,227.9,98,10.26,10.8,5,2.92,1,0
1844,MO,0,0,1,0,0,0,1,0,160,415,0,0,0,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13,3,3.51,2,0
3306,KS,0,1,0,1,0,0,0,0,51,415,0,1,0,158.2,94,26.89,213.2,105,18.12,190.4,91,8.57,8.5,2,2.3,2,0
247,AR,0,0,1,0,0,0,0,0,36,415,0,0,0,157.6,117,26.79,184.3,58,15.67,240.4,99,10.82,11.9,1,3.21,0,0
69,OR,1,1,0,1,0,0,0,0,116,415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0
2109,TN,0,1,1,1,0,0,0,0,123,415,0,1,34,305.2,80,51.88,156.5,109,13.3,280,81,12.6,13.2,7,3.56,1,0
4007,IL,1,0,0,0,0,0,0,1,51,510,0,1,32,206.1,134,35.04,179.6,84,15.27,332.2,90,14.95,10.2,2,2.75,3,0
2411,SD,1,1,0,0,0,0,0,1,116,415,0,0,0,63.7,101,10.83,195.8,95,16.64,210.1,87,9.45,10,6,2.7,1,0
1952,OR,1,1,0,1,0,0,0,0,69,408,0,0,0,196.1,87,33.34,236.8,66,20.13,182.3,75,8.2,11.9,1,3.21,0,0
305,MD,0,1,0,0,0,0,0,1,45,415,0,0,0,78.2,127,13.29,253.4,108,21.54,255,100,11.48,10.3,3,2.78,1,0
1313,MI,0,0,1,0,1,0,0,0,135,415,0,0,0,239.9,91,40.78,177.1,104,15.05,217.2,118,9.77,5.9,3,1.59,2,0
3711,DC,0,0,0,0,0,0,0,1,118,415,0,0,0,183.1,128,31.13,241,93,20.49,211.1,108,9.5,12.5,4,3.38,0,0
2159,WY,0,0,1,1,0,0,0,1,34,408,0,0,0,128.8,80,21.9,208.7,93,17.74,202.1,103,9.09,14,7,3.78,1,0
1771,IA,1,0,0,0,0,1,0,0,75,415,0,0,0,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3,1,0
1351,MI,0,0,1,0,1,0,0,0,115,415,0,1,26,155.2,110,26.38,230.9,133,19.63,261.6,100,11.77,4.5,4,1.22,0,0
1818,WY,0,0,1,1,0,0,0,1,124,415,0,0,0,178.3,102,30.31,235,120,19.98,239.7,119,10.79,10.9,1,2.94,3,0
1446,NC,0,0,0,1,0,1,0,0,83,510,0,1,36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0,0
4223,OK,1,1,1,0,0,0,0,0,117,415,0,0,0,212.1,133,36.06,276.6,94,23.51,195.5,124,8.8,9.5,3,2.57,2,0
1963,IL,1,0,0,0,0,0,0,1,71,415,0,0,0,207,112,35.19,173.8,96,14.77,178.4,61,8.03,12.1,3,3.27,1,0
2046,MN,0,0,1,0,0,1,0,0,81,510,0,0,0,145.6,59,24.75,287.9,131,24.47,181.7,121,8.18,9.2,4,2.48,2,0
2005,MD,0,1,0,0,0,0,0,1,71,415,0,1,31,115.4,90,19.62,217.4,78,18.48,239.9,102,10.8,13.1,4,3.54,1,0
3732,ME,0,0,1,1,0,0,0,0,75,408,0,0,0,229.2,59,38.96,142.8,107,12.14,291.6,109,13.12,8.5,5,2.3,0,0
2278,OR,1,1,0,1,0,0,0,0,12,415,0,0,0,204.6,98,34.78,212.5,90,18.06,182.1,95,8.19,9.8,7,2.65,2,0
1030,UT,0,1,1,0,0,1,0,0,74,415,0,0,0,106.4,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,0
3462,SC,1,1,0,0,0,0,1,0,90,408,0,1,31,118.5,92,20.15,257.9,76,21.92,186.2,96,8.38,9,6,2.43,1,0
2494,PA,1,1,0,0,1,0,0,0,136,408,0,0,0,102.1,75,17.36,219.5,97,18.66,73.7,92,3.32,9.8,5,2.65,0,0
2949,AL,0,1,0,0,0,0,0,0,96,415,0,1,18,262.9,57,44.69,190.2,107,16.17,293.5,103,13.21,11.8,4,3.19,3,0
3611,MA,0,1,0,0,0,0,1,0,104,415,0,0,0,285.3,75,48.5,130.8,111,11.12,181.8,99,8.18,10.5,2,2.84,2,0
2195,MN,0,0,1,0,0,1,0,0,53,415,0,0,0,164.1,106,27.9,206,56,17.51,194.7,124,8.76,11.4,2,3.08,1,0
1315,MA,0,1,0,0,0,0,1,0,80,408,0,0,0,148.6,106,25.26,210.8,65,17.92,203.7,86,9.17,10,2,2.7,2,0
3217,LA,0,1,0,0,0,1,0,0,100,510,0,0,0,222.1,115,37.76,245,130,20.83,129.3,119,5.82,8.1,2,2.19,2,0
712,IL,1,0,0,0,0,0,0,1,129,415,0,0,0,198.4,91,33.73,264.7,106,22.5,111.4,101,5.01,9.2,2,2.48,2,0
1250,NJ,0,0,0,0,1,0,1,0,66,415,0,1,16,174.7,92,29.7,232.1,105,19.73,305.4,98,13.74,8.9,2,2.4,1,0
2762,KS,0,1,0,1,0,0,0,0,127,415,0,1,24,154.8,69,26.32,177.2,105,15.06,207.6,102,9.34,9,4,2.43,1,0
931,ID,1,0,0,0,0,0,1,0,118,415,0,0,0,140.4,112,23.87,187.1,60,15.9,207.9,100,9.36,7.9,1,2.13,0,0
2712,WA,0,0,1,1,1,0,0,0,152,510,0,0,0,161.4,84,27.44,163.6,88,13.91,153.2,121,6.89,11.8,5,3.19,1,0
3981,MN,0,0,1,0,0,1,0,0,130,415,0,0,0,204.5,88,34.77,178.4,85,15.16,229.6,78,10.33,12.6,8,3.4,0,0
553,ND,0,0,0,1,0,0,1,0,147,408,0,0,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,0
1773,NE,0,0,0,1,0,0,0,1,105,408,0,0,0,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,11.1,8,3,4,0
3454,ID,1,0,0,0,0,0,1,0,101,415,0,0,0,202.5,91,34.43,142.5,134,12.11,219.6,102,9.88,10.1,4,2.73,3,0
1794,NC,0,0,0,1,0,1,0,0,126,415,0,0,0,103.7,93,17.63,127,107,10.8,329.3,66,14.82,14.4,1,3.89,0,0
1514,TX,0,1,1,0,1,0,0,0,79,415,0,0,0,144,90,24.48,135.8,91,11.54,212.4,129,9.56,13,4,3.51,1,0
3994,WA,0,0,1,1,1,0,0,0,136,415,0,1,24,243.3,107,41.36,226.8,111,19.28,138.5,117,6.23,11,4,2.97,4,0
2831,TN,0,1,1,1,0,0,0,0,74,415,0,1,25,234.4,113,39.85,265.9,82,22.6,241.4,77,10.86,13.7,4,3.7,0,0
2366,HI,1,0,0,0,1,0,0,0,24,415,0,0,0,235.6,132,40.05,115.9,129,9.85,185.4,136,8.34,16.2,2,4.37,0,0
2884,LA,0,1,0,0,0,1,0,0,85,408,0,0,0,209.1,57,35.55,110.7,111,9.41,113.3,113,5.1,12.8,4,3.46,1,0
2220,OR,1,1,0,1,0,0,0,0,165,415,0,1,33,111.6,140,18.97,213.3,111,18.13,267.6,115,12.04,16,3,4.32,0,0
3485,MA,0,1,0,0,0,0,1,0,85,415,0,0,0,274.7,79,46.7,119.4,122,10.15,296.9,74,13.36,9.4,10,2.54,1,0
1202,OH,0,0,0,0,0,0,1,1,29,415,1,1,37,235,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2,0
1098,IA,1,0,0,0,0,1,0,0,46,510,0,0,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3,0
1892,NH,0,0,0,0,1,1,0,0,93,408,0,0,0,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,0
4167,VT,0,1,1,0,0,0,0,1,61,415,0,0,0,217.5,116,36.98,258.5,108,21.97,210.4,99,9.47,8.7,3,2.35,1,0
209,TX,0,1,1,0,1,0,0,0,97,415,1,0,0,143.7,117,24.43,273,82,23.21,178.3,81,8.02,10.9,3,2.94,0,0
4010,UT,0,1,1,0,0,1,0,0,57,415,0,0,0,202,100,34.34,168.9,90,14.36,231.8,119,10.43,3.4,4,0.92,1,0
3332,NV,0,0,0,0,0,1,1,0,70,415,0,0,0,205.7,80,34.97,221.4,103,18.82,206.2,117,9.28,14.2,5,3.83,2,0
2963,ME,0,0,1,1,0,0,0,0,146,415,0,0,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,0
3088,WV,0,0,1,1,0,0,1,0,3,408,0,0,0,182.9,87,31.09,172.1,103,14.63,233.1,89,10.49,12.1,3,3.27,4,0
3139,AZ,0,0,0,1,0,0,0,0,127,415,0,0,0,145,106,24.65,230.3,99,19.58,164.9,103,7.42,12.7,3,3.43,1,0
1660,RI,1,1,0,0,0,1,0,0,116,510,0,0,0,137.4,126,23.36,120,94,10.2,130.3,64,5.86,12.4,2,3.35,3,0
526,MO,0,0,1,0,0,0,1,0,36,408,0,0,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2,0
257,SD,1,1,0,0,0,0,0,1,100,415,0,0,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,8.9,4,2.4,3,0
1206,WY,0,0,1,1,0,0,0,1,107,510,0,1,31,160.3,100,27.25,221.5,70,18.83,261.6,109,11.77,5.6,1,1.51,1,0
1979,AZ,0,0,0,1,0,0,0,0,124,415,0,0,0,253.5,104,43.1,117.9,123,10.02,248.5,104,11.18,14,2,3.78,0,0
3643,MI,0,0,1,0,1,0,0,0,126,415,0,0,0,193.1,114,32.83,75.5,61,6.42,186.2,73,8.38,11.1,1,3,3,0
2268,IL,1,0,0,0,0,0,0,1,67,415,0,0,0,109.1,117,18.55,217.4,124,18.48,188.4,141,8.48,12.8,6,3.46,0,0
491,OK,1,1,1,0,0,0,0,0,92,510,0,0,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,0
1875,MS,0,0,1,0,0,0,0,1,43,510,0,0,0,159.5,99,27.12,119.7,149,10.17,173.9,126,7.83,6.8,3,1.84,2,0
2377,AK,1,0,0,0,0,0,0,0,52,408,0,0,0,217,104,36.89,152.3,83,12.95,134.3,109,6.04,11.8,4,3.19,2,0
1133,TX,0,1,1,0,1,0,0,0,28,415,0,0,0,159.7,79,27.15,216.7,131,18.42,206.7,116,9.3,9.3,3,2.51,2,0
1327,AZ,0,0,0,1,0,0,0,0,127,415,0,1,14,143.2,99,24.34,169.9,91,14.44,221.6,77,9.97,11.6,1,3.13,1,0
3388,IL,1,0,0,0,0,0,0,1,158,415,0,1,19,127.6,88,21.69,235.2,82,19.99,195,87,8.78,10.1,3,2.73,0,0
460,TX,0,1,1,0,1,0,0,0,58,408,0,1,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,0
1770,MS,0,0,1,0,0,0,0,1,136,415,0,1,24,174.6,76,29.68,176.6,114,15.01,214.4,91,9.65,8.8,5,2.38,2,0
4165,MO,0,0,1,0,0,0,1,0,120,408,0,0,0,121,139,20.57,270.4,121,22.98,141,90,6.35,5.3,8,1.43,1,0
1066,WY,0,0,1,1,0,0,0,1,95,415,0,1,39,260.8,130,44.34,213.4,111,18.14,195.6,97,8.8,10.1,5,2.73,1,0
1692,CO,0,0,0,0,0,1,0,0,89,415,0,0,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,0
3041,PA,1,1,0,0,1,0,0,0,167,415,1,0,0,181.2,122,30.8,262.5,77,22.31,214,88,9.63,8.4,4,2.27,0,0
3323,NC,0,0,0,1,0,1,0,0,111,415,0,0,0,162.1,98,27.56,217.6,87,18.5,264.1,107,11.88,7.7,1,2.08,0,0
2432,CT,0,0,0,0,0,0,1,0,124,415,0,0,0,151,98,25.67,120.6,119,10.25,152.8,81,6.88,9.2,2,2.48,2,0
2612,AR,0,0,1,0,0,0,0,0,129,415,0,0,0,157,113,26.69,256.9,97,21.84,185.5,126,8.35,12.1,2,3.27,2,0
62,HI,1,0,0,0,1,0,0,0,85,415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0,0
637,WY,0,0,1,1,0,0,0,1,161,415,1,0,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,10.3,6,2.78,1,0
1699,OR,1,1,0,1,0,0,0,0,33,415,1,0,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13,6,3.51,1,0
184,ME,0,0,1,1,0,0,0,0,35,408,0,0,0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,0
605,OR,1,1,0,1,0,0,0,0,129,510,0,1,36,192.8,103,32.78,177,83,15.05,216.5,118,9.74,16.4,5,4.43,1,0
722,HI,1,0,0,0,1,0,0,0,169,415,0,0,0,179.2,111,30.46,175.2,130,14.89,228.6,92,10.29,9.9,6,2.67,2,0
228,PA,1,1,0,0,1,0,0,0,92,408,0,1,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10,3,2.7,1,0
398,HI,1,0,0,0,1,0,0,0,166,408,0,0,0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,0
2588,SD,1,1,0,0,0,0,0,1,119,510,0,0,0,94.2,108,16.01,264.1,100,22.45,203.7,79,9.17,7.3,3,1.97,1,0
867,DE,1,1,0,0,0,0,0,0,131,408,0,0,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,0
248,ME,0,0,1,1,0,0,0,0,113,415,0,0,0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,0
1938,NV,0,0,0,0,0,1,1,0,105,415,1,0,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,0,0
2240,CO,0,0,0,0,0,1,0,0,63,408,1,1,21,151.5,99,25.76,147.8,89,12.56,210.4,114,9.47,10,4,2.7,1,0
935,IA,1,0,0,0,0,1,0,0,152,415,0,0,0,206.3,98,35.07,292.8,82,24.89,200.45,121,9.02,10.6,4,2.86,1,0
2342,RI,1,1,0,0,0,1,0,0,123,510,0,1,23,245,88,41.65,265,105,22.53,239.7,108,10.79,14.9,3,4.02,2,0
1787,TN,0,1,1,1,0,0,0,0,105,510,0,0,0,119.3,82,20.28,185.1,111,15.73,157,74,7.07,10.9,4,2.94,2,0
1342,AK,1,0,0,0,0,0,0,0,76,415,0,0,0,143.7,55,24.43,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1,0
1192,MO,0,0,1,0,0,0,1,0,86,415,0,0,0,125.5,139,21.34,269.8,93,22.93,235.8,110,10.61,8.9,8,2.4,1,0
1269,SC,1,1,0,0,0,0,1,0,64,510,0,1,40,210,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,0
945,VA,0,1,1,0,0,0,1,0,11,408,0,1,24,131.5,98,22.36,230.2,111,19.57,283.7,87,12.77,10,3,2.7,2,0
1356,CT,0,0,0,0,0,0,1,0,95,415,0,0,0,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,0
2071,ID,1,0,0,0,0,0,1,0,88,415,0,0,0,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05,0,0
3137,VA,0,1,1,0,0,0,1,0,113,408,0,1,30,208.9,87,35.51,145.2,89,12.34,198.2,77,8.92,14.9,5,4.02,2,0
1466,MN,0,0,1,0,0,1,0,0,85,415,0,0,0,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3.7,5,1,3,0
3603,GA,1,0,0,1,0,0,0,0,111,415,0,0,0,129.1,92,21.95,148.9,132,12.66,264,103,11.88,16.8,7,4.54,2,0
1998,PA,1,1,0,0,1,0,0,0,176,415,0,0,0,169.5,151,28.82,112.9,84,9.6,200.45,99,9.02,8.7,4,2.35,0,0
138,AZ,0,0,0,1,0,0,0,0,94,408,0,1,38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,0
3235,NJ,0,0,0,0,1,0,1,0,135,415,0,0,0,191.7,125,32.59,284.2,100,24.16,211.7,87,9.53,12.5,2,3.38,0,0
2034,NE,0,0,0,1,0,0,0,1,139,415,0,1,25,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24,0,0
144,NE,0,0,0,1,0,0,0,1,94,415,0,0,0,252.6,104,42.94,169,125,14.37,170.9,106,7.69,11.1,7,3,2,0
1488,AL,0,1,0,0,0,0,0,0,115,510,0,1,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2,0
2130,VT,0,1,1,0,0,0,0,1,138,415,0,0,0,230.1,107,39.12,212,120,18.02,174.9,119,7.87,13.2,4,3.56,1,0
4093,TX,0,1,1,0,1,0,0,0,38,415,0,1,38,175.6,127,29.85,260.5,118,22.14,199.5,109,8.98,12.3,2,3.32,2,0
1958,MO,0,0,1,0,0,0,1,0,136,415,0,0,0,92.4,109,15.71,219,115,18.62,212.6,80,9.57,12.9,4,3.48,2,0
2169,MN,0,0,1,0,0,1,0,0,117,408,0,1,21,153.2,112,26.04,263.3,110,22.38,135,85,6.08,11.9,7,3.21,1,0
3926,VA,0,1,1,0,0,0,1,0,86,415,0,0,0,231.9,73,39.42,165.9,123,14.1,225.7,86,10.16,11.5,3,3.11,3,0
1424,PA,1,1,0,0,1,0,0,0,174,415,0,1,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1,0
370,WI,0,0,1,1,0,1,0,0,85,408,1,0,0,165.4,107,28.12,196,126,16.66,200.45,110,9.02,9.6,7,2.59,2,0
1350,IN,0,1,1,0,0,0,0,0,87,510,0,0,0,189.5,113,32.22,204.9,100,17.42,221.7,93,9.98,13.4,3,3.62,1,0
2295,HI,1,0,0,0,1,0,0,0,101,415,0,0,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,9.7,7,2.62,4,0
3425,TN,0,1,1,1,0,0,0,0,97,408,0,0,0,238.6,85,40.56,203.3,75,17.28,180.5,127,8.12,16.2,8,4.37,0,0
2371,HI,1,0,0,0,1,0,0,0,3,408,0,0,0,139,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4,0
1877,VA,0,1,1,0,0,0,1,0,67,408,0,0,0,176.2,120,29.95,236,138,20.06,152.5,104,6.86,10.6,4,2.86,1,0
3963,IL,1,0,0,0,0,0,0,1,65,415,0,0,0,180.3,84,30.65,199.9,129,16.99,280.1,62,12.6,12.1,1,3.27,3,0
3034,UT,0,1,1,0,0,1,0,0,93,415,0,0,0,174.1,127,29.6,176.8,73,15.03,240,111,10.8,10.7,3,2.89,0,0
3341,AR,0,0,1,0,0,0,0,0,57,415,0,1,23,208.7,57,35.48,233.4,132,19.84,108.8,117,4.9,9.1,5,2.46,1,0
1207,WY,0,0,1,1,0,0,0,1,127,415,1,1,28,95.9,117,16.3,159.5,131,13.56,152.8,132,6.88,10.4,3,2.81,1,0
2311,WV,0,0,1,1,0,0,1,0,51,408,0,0,0,169.3,111,28.78,139.5,69,11.86,197,87,8.87,12,3,3.24,0,0
3655,NV,0,0,0,0,0,1,1,0,105,408,0,0,0,98.2,103,16.69,140.3,91,11.93,140.2,106,6.31,13.9,1,3.75,1,0
1775,CT,0,0,0,0,0,0,1,0,45,415,0,0,0,142.4,107,24.21,318.7,78,27.09,224.1,108,10.08,11.1,7,3,1,0
1150,AZ,0,0,0,1,0,0,0,0,97,408,0,0,0,169.7,84,28.85,165.9,86,14.1,191.9,83,8.64,12.8,6,3.46,3,0
1613,NY,0,0,0,0,0,1,0,1,61,415,0,0,0,197.7,118,33.61,152.2,96,12.94,221,93,9.95,7,3,1.89,2,0
1063,AZ,0,0,0,1,0,0,0,0,157,415,0,0,0,220.7,105,37.52,119.3,127,10.14,165.1,113,7.43,11.5,7,3.11,4,0
1879,DE,1,1,0,0,0,0,0,0,129,408,0,0,0,161.3,122,27.42,220.6,95,18.75,224.7,104,10.11,9.6,3,2.59,1,0
3339,GA,1,0,0,1,0,0,0,0,108,415,0,1,15,196.8,79,33.46,173.5,99,14.75,274.7,108,12.36,14.6,5,3.94,1,0
3545,ID,1,0,0,0,0,0,1,0,68,415,0,0,0,186.5,108,31.71,190.2,107,16.17,187.8,103,8.45,11,5,2.97,1,0
1071,ND,0,0,0,1,0,0,1,0,81,408,1,1,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,7.9,3,2.13,1,0
1298,PA,1,1,0,0,1,0,0,0,128,408,1,0,0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,10.7,5,2.89,0,0
3660,NC,0,0,0,1,0,1,0,0,139,415,1,0,0,185.1,101,31.47,266.7,75,22.67,207.9,95,9.36,9,3,2.43,3,0
3701,CT,0,0,0,0,0,0,1,0,142,510,0,1,38,231.2,125,39.3,174.8,121,14.86,171.2,87,7.7,12.4,2,3.35,4,0
991,IN,0,1,1,0,0,0,0,0,154,510,0,1,32,192.3,82,32.69,165.3,134,14.05,205,74,9.23,9,1,2.43,2,0
1225,GA,1,0,0,1,0,0,0,0,160,415,0,0,0,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,0
3290,IA,1,0,0,0,0,1,0,0,80,408,0,1,22,182.8,142,31.08,229.3,111,19.49,313.8,85,14.12,11.3,2,3.05,1,0
3516,MI,0,0,1,0,1,0,0,0,57,415,0,0,0,140,100,23.8,174.7,102,14.85,258.5,111,11.63,13.3,4,3.59,1,0
243,WI,0,0,1,1,0,1,0,0,94,510,0,0,0,177.1,112,30.11,194,112,16.49,146.7,108,6.6,5.9,4,1.59,1,0
3537,WY,0,0,1,1,0,0,0,1,62,415,0,0,0,116.5,77,19.81,186.1,111,15.82,180.6,72,8.13,16.1,2,4.35,3,0
2518,NE,0,0,0,1,0,0,0,1,95,510,0,0,0,58.2,96,9.89,202.1,126,17.18,210.5,97,9.47,10.4,5,2.81,0,0
